C2F6 (100 l/min),C2F6 (200 l/min)
4.88,5.14
5.04,4.64
5.28,4.95
5.06,4.94
5.23,4.93
5.09,4.93
5.06,5.02
4.82,4.97
4.96,4.82
4.98,4.78
5.07,4.80
4.98,4.81
5.02,4.82
5.13,4.82
4.88,5.05
5.30,4.85
5.18,4.90
5.12,4.98
5.30,4.82
5.09,4.66
4.76,4.85
5.29,4.92
5.16,4.91
5.04,4.88
5.02,4.93
4.83,5.00
5.05,4.76
4.78,5.02
5.10,4.85
5.31,4.91
5.16,4.48
5.03,4.83
4.85,4.88
4.82,4.50
5.01,5.08
4.91,4.87
4.89,5.02
4.63,5.11
4.88,4.58
4.93,5.11
5.38,5.47
4.84,4.92
5.12,4.80
5.15,4.92
5.08,4.66
5.07,5.10
4.71,4.79
5.31,4.82
4.96,4.57
4.96,4.98